indice,date_partido,local,visita,prediccion,correcto,multiplicador
premiere,16/09/2017,Crystal Palace,Southampton,-,,1.31
premiere,16/09/2017,Newcastle,Stoke,-,,1.1
premiere,16/09/2017,Tottenham,Swansea,Tottenham,,1.11
premiere,16/09/2017,West Brom,West Ham,-,,
premiere,17/09/2017,Chelsea,Arsenal,-,,1.29
premiere,17/09/2017,Man United,Everton,-,,1.24
premiere,23/09/2017,Everton,Bournemouth,-,,1.17
premiere,23/09/2017,Stoke,Chelsea,-,,1.03
premiere,23/09/2017,Man City,Crystal Palace,Man City,1,1.09
premiere,23/09/2017,Burnley,Huddersfield,-,,1.15
premiere,23/09/2017,Leicester,Liverpool,-,,1.16
premiere,23/09/2017,Southampton,Man United,Man United,1,1.18
premiere,23/09/2017,West Ham,Tottenham,Tottenham,1,1.14
premiere,23/09/2017,Swansea,Watford,-,,1.22
premiere,24/09/2017,Brighton,Newcastle,-,,1.3
premiere,25/09/2017,Arsenal,West Brom,-,,1.16
premiere,30/09/2017,Man United,Crystal Palace,-,,1.21
premiere,30/09/2017,Bournemouth,Leicester,-,,1.21
premiere,30/09/2017,Chelsea,Man City,-,,1.07
premiere,30/09/2017,Stoke,Southampton,-,,1.24
premiere,30/09/2017,West Ham,Swansea,-,,1.04
premiere,30/09/2017,Huddersfield,Tottenham,Tottenham,1,1.21
premiere,30/09/2017,West Brom,Watford,-,,1.31
premiere,01/10/2017,Arsenal,Brighton,-,,1.01
premiere,01/10/2017,Everton,Burnley,-,,1.26
premiere,01/10/2017,Newcastle,Liverpool,-,,1.25
premiere,14/10/2017,Watford,Arsenal,-,,1.14
premiere,14/10/2017,Tottenham,Bournemouth,-,,1.18
premiere,14/10/2017,Crystal Palace,Chelsea,-,,1.12
premiere,14/10/2017,Swansea,Huddersfield,-,,1.1
premiere,14/10/2017,Liverpool,Man United,-,,1.17
premiere,14/10/2017,Man City,Stoke,Man City,1,1.26
premiere,14/10/2017,Burnley,West Ham,-,,1.22
premiere,15/10/2017,Brighton,Everton,-,,1.24
premiere,15/10/2017,Southampton,Newcastle,-,,1.06
premiere,16/10/2017,Leicester,West Brom,-,,1.12
premiere,20/10/2017,West Ham,Brighton,-,,1.03
premiere,21/10/2017,Stoke,Bournemouth,-,,1.25
premiere,21/10/2017,Man City,Burnley,Man City,1,1.18
premiere,21/10/2017,Newcastle,Crystal Palace,-,,1.05
premiere,21/10/2017,Swansea,Leicester,-,,1.08
premiere,21/10/2017,Huddersfield,Man United,Man United,0,1.15
premiere,21/10/2017,Chelsea,Watford,-,,1.14
premiere,21/10/2017,Southampton,West Brom,-,,1.12
premiere,22/10/2017,Everton,Arsenal,-,,1.22
premiere,22/10/2017,Tottenham,Liverpool,-,,1.19
premiere,28/10/2017,Bournemouth,Chelsea,-,,1.12
premiere,28/10/2017,Liverpool,Huddersfield,Liverpool,1,1.13
premiere,28/10/2017,West Brom,Man City,Man City,1,1.25
premiere,28/10/2017,Watford,Stoke,-,,1.31
premiere,28/10/2017,Arsenal,Swansea,-,,1.03
premiere,28/10/2017,Man United,Tottenham,-,,1.28
premiere,28/10/2017,Crystal Palace,West Ham,-,,1.13
premiere,29/10/2017,Leicester,Everton,-,,1.14
premiere,29/10/2017,Brighton,Southampton,-,,1.22
premiere,30/10/2017,Burnley,Newcastle,-,,1.01
premiere,04/11/2017,Newcastle,Bournemouth,-,,1.3
premiere,04/11/2017,Swansea,Brighton,-,,1.27
premiere,04/11/2017,Southampton,Burnley,-,,1.15
premiere,04/11/2017,Stoke,Leicester,-,,1.06
premiere,04/11/2017,West Ham,Liverpool,Liverpool,1,1.16
premiere,04/11/2017,Huddersfield,West Brom,-,,1.17
premiere,05/11/2017,Man City,Arsenal,-,,1.01
premiere,05/11/2017,Tottenham,Crystal Palace,-,,1.26
premiere,05/11/2017,Chelsea,Man United,-,,1.04
premiere,05/11/2017,Everton,Watford,-,,1.06
premiere,18/11/2017,West Brom,Chelsea,-,,1.11
premiere,18/11/2017,Crystal Palace,Everton,-,,1.12
premiere,18/11/2017,Bournemouth,Huddersfield,-,,1.28
premiere,18/11/2017,Leicester,Man City,Man City,1,1.21
premiere,18/11/2017,Man United,Newcastle,-,,1.28
premiere,18/11/2017,Liverpool,Southampton,Liverpool,1,1.26
premiere,18/11/2017,Burnley,Swansea,-,,1.22
premiere,18/11/2017,Arsenal,Tottenham,-,,1.16
premiere,19/11/2017,Watford,West Ham,-,,1.21
premiere,20/11/2017,Brighton,Stoke,-,,1.17
premiere,24/11/2017,West Ham,Leicester,-,,1.13
premiere,25/11/2017,Swansea,Bournemouth,-,,1.32
premiere,25/11/2017,Man United,Brighton,Man United,1,1.32
premiere,25/11/2017,Liverpool,Chelsea,-,,1.26
premiere,25/11/2017,Crystal Palace,Stoke,-,,1.11
premiere,25/11/2017,Newcastle,Watford,-,,1.26
premiere,25/11/2017,Tottenham,West Brom,Tottenham,,1.06
premiere,26/11/2017,Burnley,Arsenal,-,,1.01
premiere,26/11/2017,Southampton,Everton,-,,1.04
premiere,26/11/2017,Huddersfield,Man City,Man City,1,1.07
premiere,28/11/2017,Brighton,Crystal Palace,-,,1.25
premiere,28/11/2017,Watford,Man United,Man United,1,1.26
premiere,28/11/2017,West Brom,Newcastle,-,,1.12
premiere,28/11/2017,Leicester,Tottenham,-,,1.23
premiere,29/11/2017,Bournemouth,Burnley,-,,1.14
premiere,29/11/2017,Arsenal,Huddersfield,-,,1.05
premiere,29/11/2017,Stoke,Liverpool,Liverpool,1,1.18
premiere,29/11/2017,Man City,Southampton,Man City,1,1.15
premiere,29/11/2017,Chelsea,Swansea,-,,1
premiere,29/11/2017,Everton,West Ham,-,,1.04
premiere,02/12/2017,Leicester,Burnley,-,,1.16
premiere,02/12/2017,West Brom,Crystal Palace,-,,1.1
premiere,02/12/2017,Everton,Huddersfield,-,,1.21
premiere,02/12/2017,Brighton,Liverpool,Liverpool,1,1.22
premiere,02/12/2017,Arsenal,Man United,-,,1.1
premiere,02/12/2017,Chelsea,Newcastle,-,,1.07
premiere,02/12/2017,Stoke,Swansea,-,,1.28
premiere,02/12/2017,Watford,Tottenham,Tottenham,,1.15
premiere,03/12/2017,Bournemouth,Southampton,-,,1.12
premiere,03/12/2017,Man City,West Ham,Man City,1,1.31
premiere,09/12/2017,Crystal Palace,Bournemouth,-,,1.1
premiere,09/12/2017,Huddersfield,Brighton,-,,1.09
premiere,09/12/2017,West Ham,Chelsea,-,,1.09
premiere,09/12/2017,Newcastle,Leicester,-,,1.17
premiere,09/12/2017,Tottenham,Stoke,Tottenham,1,1.08
premiere,09/12/2017,Burnley,Watford,-,,1.11
premiere,09/12/2017,Swansea,West Brom,-,,1.15
premiere,10/12/2017,Southampton,Arsenal,-,,1.28
premiere,10/12/2017,Liverpool,Everton,Liverpool,,1.08
premiere,10/12/2017,Man United,Man City,-,,1.27
premiere,12/12/2017,Huddersfield,Chelsea,-,,1.02
premiere,12/12/2017,Burnley,Stoke,-,,1.02
premiere,12/12/2017,Crystal Palace,Watford,-,,1.31
premiere,13/12/2017,West Ham,Arsenal,-,,1.12
premiere,13/12/2017,Man United,Bournemouth,-,,1.12
premiere,13/12/2017,Tottenham,Brighton,Tottenham,1,1.22
premiere,13/12/2017,Newcastle,Everton,-,,1.19
premiere,13/12/2017,Southampton,Leicester,-,,1.27
premiere,13/12/2017,Swansea,Man City,Man City,1,1.24
premiere,13/12/2017,Liverpool,West Brom,Liverpool,,1.07
premiere,16/12/2017,Brighton,Burnley,-,,1.24
premiere,16/12/2017,Leicester,Crystal Palace,-,,1.27
premiere,16/12/2017,Watford,Huddersfield,-,,1.23
premiere,16/12/2017,Arsenal,Newcastle,-,,1.17
premiere,16/12/2017,Chelsea,Southampton,-,,1.31
premiere,16/12/2017,Man City,Tottenham,-,,1.18
premiere,16/12/2017,Stoke,West Ham,-,,1.25
