SET,playerA,playerB,Surface,Type,A_points,B_Points
4753,460,126,Hard,2,6,4
5854,9,126,Clay,2,6,3
7291,169,126,Clay,2,3,6
8095,70,126,Clay,2,6,3
8737,237,126,Clay,2,6,1
10285,326,126,Clay,2,6,0
4042,277,127,Hard,2,7,5
5518,393,127,Hard,2,6,4
6346,31,127,Clay,2,0,0
8542,384,127,Hard,2,6,3
10876,84,127,Clay,2,6,2
6829,162,128,Hard,2,6,4
961,55,129,Hard,2,6,4
2422,299,129,Hard,2,6,3
7567,263,129,Clay,2,7,5
8224,172,129,Hard,2,6,3
10474,201,129,Clay,2,7,6
160,459,130,Hard,2,6,2
10333,195,131,Clay,2,6,3
4114,136,132,Clay,2,6,2
4453,442,132,Clay,2,6,3
5833,223,132,Clay,2,6,3
6391,31,132,Clay,2,6,1
6643,384,132,Clay,2,6,0
7357,358,132,Clay,2,2,6
4429,66,133,Clay,2,6,3
5809,380,133,Clay,2,7,5
6340,475,133,Clay,2,6,4
6709,462,133,Clay,2,4,6
7270,181,133,Clay,2,6,4
8086,99,133,Clay,2,6,1
9484,119,134,Hard,2,6,4
10444,456,134,Clay,2,6,3
919,223,135,Clay,2,6,4
5848,354,135,Clay,2,6,4
6361,64,135,Clay,2,6,1
6742,30,135,Clay,2,6,4
7345,108,135,Clay,2,7,6
1171,161,136,Hard,2,6,7
2173,275,136,Hard,2,6,2
4075,419,136,Clay,2,6,3
5710,263,136,Clay,2,7,6
6217,274,136,Clay,2,6,4
6223,83,136,Clay,2,3,6
6562,275,136,Clay,2,6,4
7045,272,136,Hard,2,6,4
7987,193,136,Hard,2,7,5
10309,115,136,Clay,2,6,3
10819,157,136,Clay,2,6,3
3733,260,137,Hard,2,6,3
5899,164,137,Clay,2,6,3
7132,26,137,Hard,2,6,4
8038,448,137,Hard,2,4,6
3124,13,138,Hard,2,6,2
5902,8,138,Clay,2,6,3
6397,229,138,Clay,2,6,2
6748,229,138,Clay,2,6,3
7099,9,138,Hard,2,7,6
8002,448,138,Hard,2,6,3
8497,4,138,Hard,2,7,5
3766,137,139,Hard,2,6,2
5584,450,139,Hard,2,6,2
6415,78,139,Clay,2,6,2
8608,186,139,Hard,2,6,4
1747,327,140,Hard,2,7,5
3511,458,140,Hard,2,6,0
10477,329,140,Clay,2,6,4
25,358,141,Hard,2,6,2
523,63,141,Hard,2,6,3
1867,299,141,Hard,2,7,6
2434,48,141,Hard,2,6,3
3013,103,141,Hard,2,7,5
5500,99,141,Hard,2,6,4
7012,215,141,Hard,2,6,1
7888,215,141,Hard,2,6,4
9286,266,141,Hard,2,6,3
9907,297,141,Hard,2,6,1
6589,245,142,Clay,2,6,2
7543,83,142,Clay,2,6,4
10777,157,142,Clay,2,1,0
973,271,143,Hard,2,6,0
1411,271,143,Hard,2,6,1
247,125,144,Hard,2,6,1
1546,462,144,Hard,2,0,6
6625,136,145,Clay,2,6,2
2515,394,146,Hard,2,6,4
10351,228,146,Clay,2,6,2
3706,406,147,Hard,2,6,1
4186,165,147,Clay,2,6,3
4561,181,147,Clay,2,2,6
5926,121,147,Clay,2,6,2
6400,78,147,Clay,2,6,1
6763,135,147,Clay,2,7,6
7138,9,147,Hard,2,6,2
7999,225,147,Hard,2,6,2
901,342,148,Clay,2,7,6
4828,222,148,Hard,2,6,3
883,342,149,Clay,2,7,6
7348,174,149,Clay,2,7,5
8692,311,149,Clay,2,6,2
9190,102,150,Clay,2,7,5
10789,459,150,Clay,2,6,2
769,446,151,Clay,2,6,2
10270,355,151,Clay,2,7,5
1048,143,152,Hard,2,7,5
1417,129,152,Hard,2,6,2
8932,483,152,Hard,2,6,1
10618,94,152,Hard,2,6,4
283,133,153,Clay,2,6,1
4420,226,153,Clay,2,6,2
5524,141,153,Hard,2,7,5
6505,464,153,Clay,2,6,2
7447,83,153,Clay,2,6,3
9121,355,153,Clay,2,0,0
1576,36,154,Hard,2,6,1
2293,265,154,Hard,2,6,3
730,113,155,Clay,2,6,2
1066,143,155,Hard,2,1,6
2218,271,155,Hard,2,6,4
2995,330,155,Hard,2,6,2
3199,40,155,Hard,2,6,2
4672,302,155,Hard,2,6,2
5173,69,155,Hard,2,6,3
5422,105,155,Hard,2,6,3
8263,340,155,Hard,2,6,2
9163,153,156,Clay,2,6,4
3487,29,157,Hard,2,3,6
5110,55,157,Hard,2,6,4
5749,428,157,Clay,2,3,6
6265,220,157,Clay,2,3,6
8311,166,157,Clay,2,7,6
9583,1,157,Clay,2,6,3
2272,426,158,Hard,2,3,1
2908,424,158,Hard,2,6,1
5545,71,158,Hard,2,6,2
2797,205,159,Hard,2,6,4
4927,325,160,Hard,2,3,6
208,465,161,Hard,2,7,6
1108,342,161,Hard,2,6,3
2029,375,161,Hard,2,4,6
2599,458,161,Hard,2,4,6
3535,29,161,Hard,2,7,5
4822,77,161,Hard,2,0,0
8356,157,161,Clay,2,6,1
9142,411,161,Clay,2,6,4
10300,71,161,Clay,2,6,4
4240,481,162,Hard,2,7,6
4654,398,162,Hard,2,6,4
5098,398,162,Hard,2,4,6
6817,371,162,Hard,2,6,4
7231,383,162,Clay,2,7,6
9937,277,162,Hard,2,6,4
217,379,163,Clay,2,6,3
6736,48,163,Clay,2,2,6
7972,384,163,Hard,2,6,4
8545,90,163,Hard,2,1,6
4219,165,164,Clay,2,3,6
5881,354,164,Clay,2,7,6
4165,228,165,Clay,2,6,2
4543,223,165,Clay,2,7,6
2590,455,166,Hard,2,4,6
5992,102,166,Hard,2,6,3
7873,205,167,Clay,2,4,6
301,274,168,Clay,2,6,3
1279,447,168,Hard,2,6,4
4417,274,168,Clay,2,6,2
5608,422,168,Clay,2,6,3
6142,346,168,Clay,2,6,4
6514,294,168,Clay,2,6,3
8953,214,168,Clay,2,6,2
9742,166,168,Clay,2,7,6
229,163,169,Clay,2,7,6
289,387,169,Clay,2,7,6
478,14,169,Clay,2,6,4
1930,420,169,Hard,2,6,3
6715,211,169,Clay,2,7,5
8065,70,169,Clay,2,6,2
8680,181,169,Clay,2,6,4
9070,40,170,Clay,2,6,2
1543,33,171,Hard,2,6,4
2467,129,172,Hard,2,6,1
3106,237,172,Hard,2,3,2
5191,166,172,Hard,2,6,1
5776,136,172,Clay,2,7,6
6295,66,172,Clay,2,7,6
8182,262,172,Hard,2,6,3
10006,225,172,Hard,2,6,2
8188,295,173,Hard,2,6,2
421,148,174,Hard,2,6,4
1288,302,174,Hard,2,6,3
1894,141,174,Hard,2,6,2
3979,287,174,Hard,2,7,5
4786,197,174,Hard,2,6,4
7288,229,174,Clay,2,6,0
8098,326,174,Clay,2,7,6
8725,122,174,Clay,2,6,4
10087,207,174,Clay,2,6,1
1993,277,175,Hard,2,6,4
292,442,176,Clay,2,6,4
4426,387,176,Clay,2,6,4
4495,132,176,Clay,2,6,2
10174,323,176,Clay,2,7,5
10816,142,176,Clay,2,6,2
2815,46,177,Hard,2,6,4
3412,212,177,Hard,2,6,2
3910,331,177,Hard,2,7,6
4246,433,177,Hard,2,6,3
5053,398,177,Hard,2,3,6
8194,262,177,Hard,2,6,4
9466,234,177,Hard,2,6,2
9958,198,177,Hard,2,6,1
3889,265,178,Hard,2,6,3
4249,219,178,Hard,2,6,2
10048,302,179,Hard,2,6,4
1522,290,180,Hard,2,6,3
4132,14,181,Clay,2,4,6
4522,66,181,Clay,2,7,5
8044,342,181,Clay,2,6,4
1216,9,182,Hard,2,6,3
5320,84,182,Hard,2,7,6
6046,77,183,Hard,2,5,7
8212,383,183,Hard,2,7,6
10111,207,183,Clay,2,4,6
700,346,184,Clay,2,6,3
2011,197,184,Hard,2,6,3
3091,198,184,Hard,2,6,0
5752,283,184,Clay,2,6,3
7588,83,184,Clay,2,6,3
9658,374,184,Clay,2,6,2
553,486,185,Hard,2,6,1
5908,78,186,Clay,2,6,2
6790,301,186,Clay,2,7,5
8584,448,186,Hard,2,6,4
580,208,187,Clay,2,6,1
5872,268,187,Clay,2,6,2
6379,133,187,Clay,2,6,2
1078,129,188,Hard,2,6,2
6421,359,189,Clay,2,2,0
2320,155,190,Hard,2,6,7
2953,51,190,Hard,2,6,3
4696,155,190,Hard,2,4,6
6859,198,190,Hard,2,6,3
6904,392,190,Hard,2,2,6
9370,484,190,Hard,2,0,6
8911,190,191,Hard,2,6,2
9382,265,191,Hard,2,6,7
10066,172,191,Hard,2,7,5
2371,399,192,Hard,2,6,3
2998,310,192,Hard,2,6,2
7036,268,193,Hard,2,6,7
7903,141,193,Hard,2,6,4
8206,173,193,Hard,2,6,4
10564,177,193,Hard,2,7,5
244,211,194,Clay,2,6,3
9181,208,195,Clay,2,6,2
10312,222,195,Clay,2,6,7
10897,115,195,Clay,2,6,4
4945,321,196,Hard,2,6,3
1945,70,197,Hard,2,6,3
2404,198,197,Hard,2,6,1
3043,342,197,Hard,2,6,4
4762,99,197,Hard,2,6,1
4840,392,197,Hard,2,6,2
7375,359,197,Clay,2,6,0
8119,311,197,Clay,2,7,6
8236,80,197,Hard,2,6,4
979,129,198,Hard,2,6,4
2377,239,198,Hard,2,6,4
4264,447,198,Hard,2,6,2
6820,433,198,Hard,2,7,6
8833,456,198,Hard,2,7,5
9913,297,198,Hard,2,6,2
2857,36,199,Hard,2,7,5
4267,433,199,Hard,2,6,3
4585,345,199,Hard,2,6,2
5071,464,199,Hard,2,7,5
5362,267,199,Hard,2,2,6
8806,219,199,Hard,2,3,6
9295,460,199,Hard,2,6,4
445,393,200,Hard,2,6,1
4126,31,200,Clay,2,6,1
4510,176,200,Clay,2,4,0
6190,83,200,Clay,2,6,1
1936,172,201,Hard,2,2,6
4846,8,201,Hard,2,6,3
7333,442,201,Clay,2,6,1
8209,295,201,Hard,2,3,6
9481,435,201,Hard,2,6,4
10429,281,201,Clay,2,5,7
10630,177,201,Hard,2,6,3
4057,334,203,Hard,2,6,2
9760,168,204,Clay,2,3,6
880,263,205,Clay,2,6,3
2611,294,205,Hard,2,6,4
2731,45,205,Hard,2,6,3
3589,140,205,Hard,2,6,2
5734,263,205,Clay,2,6,3
7837,222,205,Clay,2,6,3
481,274,208,Clay,2,6,2
4456,387,208,Clay,2,6,4
5692,226,208,Clay,2,6,3
7423,168,208,Clay,2,7,5
7795,142,208,Clay,2,2,6
9130,355,208,Clay,2,6,2
10882,381,209,Clay,2,6,3
5935,138,210,Clay,2,7,6
8131,358,210,Clay,2,7,6
8143,135,210,Clay,2,3,6
82,376,211,Hard,2,6,4
226,133,211,Clay,2,6,4
298,153,211,Clay,2,6,3
493,64,211,Clay,2,7,5
604,187,211,Clay,2,2,1
4465,66,211,Clay,2,6,1
4492,353,211,Clay,2,7,6
6676,4,211,Clay,2,2,6
7063,163,211,Hard,2,6,3
8989,52,213,Clay,2,6,1
10114,229,214,Clay,2,6,1
259,144,215,Hard,2,7,6
4816,71,215,Hard,2,6,7
5491,70,215,Hard,2,7,6
6991,272,215,Hard,2,3,6
9313,484,215,Hard,2,6,0
367,89,216,Hard,2,6,1
5581,127,216,Hard,2,7,5
9868,337,216,Clay,2,3,6
9103,40,217,Clay,2,6,1
6064,251,218,Hard,2,6,3
7531,263,218,Clay,2,5,7
3775,214,219,Hard,2,6,1
4231,481,219,Hard,2,7,5
5101,177,219,Hard,2,6,2
7156,368,219,Clay,2,6,3
7597,327,219,Clay,2,6,4
8803,266,219,Hard,2,6,4
9280,484,219,Hard,2,6,4
5731,136,220,Clay,2,7,6
8011,73,221,Hard,2,7,5
8593,260,221,Hard,2,6,2
913,248,222,Clay,2,6,4
1753,412,222,Hard,2,6,3
4783,99,222,Hard,2,5,7
6007,120,222,Hard,2,7,6
7771,157,222,Clay,2,6,3
8218,262,222,Hard,2,6,4
10273,255,222,Clay,2,1,6
601,208,223,Clay,2,6,4
3085,342,223,Hard,2,3,0
4513,132,223,Clay,2,6,3
5794,380,223,Clay,2,6,3
6316,64,223,Clay,2,6,2
6658,229,223,Clay,2,6,2
7015,59,223,Hard,2,4,6
7921,22,223,Hard,2,7,6
487,153,224,Clay,2,6,2
127,262,225,Hard,2,7,5
1192,243,225,Hard,2,6,3
1957,277,225,Hard,2,7,6
3670,126,225,Hard,2,6,3
5890,301,225,Clay,2,2,6
6382,475,225,Clay,2,5,7
