id_liga,date_partido,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado,dates,id,name,id,name,team,do,recieve,team,do,recieve
E0,25/11/17,"Man United",Brighton,1,0,H,"2017-11-25 00:00:00",12,"Man United",3,Brighton,12,1.789473684,0.736842105,3,0.894736842,1.421052632
E0,30/12/17,Newcastle,Brighton,0,0,D,"2017-12-30 00:00:00",13,Newcastle,3,Brighton,13,1.026315789,1.236842105,3,0.894736842,1.421052632
E0,31/01/18,Southampton,Brighton,1,1,D,"2018-01-31 00:00:00",14,Southampton,3,Brighton,14,0.973684211,1.473684211,3,0.894736842,1.421052632
E0,10/02/18,Stoke,Brighton,1,1,D,"2018-02-10 00:00:00",15,Stoke,3,Brighton,15,0.921052632,1.789473684,3,0.894736842,1.421052632
E0,04/11/17,Swansea,Brighton,0,1,A,"2017-11-04 00:00:00",16,Swansea,3,Brighton,16,0.736842105,1.473684211,3,0.894736842,1.421052632
E0,13/12/17,Tottenham,Brighton,2,0,H,"2017-12-13 00:00:00",17,Tottenham,3,Brighton,17,1.947368421,0.947368421,3,0.894736842,1.421052632
E0,26/08/17,Watford,Brighton,0,0,D,"2017-08-26 00:00:00",18,Watford,3,Brighton,18,1.157894737,1.684210526,3,0.894736842,1.421052632
E0,13/01/18,"West Brom",Brighton,2,0,H,"2018-01-13 00:00:00",19,"West Brom",3,Brighton,19,0.815789474,1.473684211,3,0.894736842,1.421052632
E0,20/10/17,"West Ham",Brighton,0,3,A,"2017-10-20 00:00:00",20,"West Ham",3,Brighton,20,1.263157895,1.789473684,3,0.894736842,1.421052632
E0,22/01/17,Arsenal,Burnley,2,1,H,"2017-01-22 00:00:00",1,Arsenal,4,Burnley,1,1.947368421,1.342105263,4,0.947368421,1.026315789
E0,06/05/18,Arsenal,Burnley,5,0,H,"2018-05-06 00:00:00",1,Arsenal,4,Burnley,1,1.947368421,1.342105263,4,0.947368421,1.026315789
E0,13/05/17,Bournemouth,Burnley,2,1,H,"2017-05-13 00:00:00",2,Bournemouth,4,Burnley,2,1.184210526,1.605263158,4,0.947368421,1.026315789
E0,29/11/17,Bournemouth,Burnley,1,2,A,"2017-11-29 00:00:00",2,Bournemouth,4,Burnley,2,1.184210526,1.605263158,4,0.947368421,1.026315789
E0,16/12/17,Brighton,Burnley,0,0,D,"2017-12-16 00:00:00",3,Brighton,4,Burnley,3,0.894736842,1.421052632,4,0.947368421,1.026315789
E0,27/08/16,Chelsea,Burnley,3,0,H,"2016-08-27 00:00:00",5,Chelsea,4,Burnley,5,1.631578947,1,4,0.947368421,1.026315789
E0,12/08/17,Chelsea,Burnley,2,3,A,"2017-08-12 00:00:00",5,Chelsea,4,Burnley,5,1.631578947,1,4,0.947368421,1.026315789
E0,29/04/17,"Crystal Palace",Burnley,0,2,A,"2017-04-29 00:00:00",6,"Crystal Palace",4,Burnley,6,1.184210526,1.447368421,4,0.947368421,1.026315789
E0,13/01/18,"Crystal Palace",Burnley,1,0,H,"2018-01-13 00:00:00",6,"Crystal Palace",4,Burnley,6,1.184210526,1.447368421,4,0.947368421,1.026315789
E0,15/04/17,Everton,Burnley,3,1,H,"2017-04-15 00:00:00",7,Everton,4,Burnley,7,1.157894737,1.526315789,4,0.947368421,1.026315789
E0,01/10/17,Everton,Burnley,0,1,A,"2017-10-01 00:00:00",7,Everton,4,Burnley,7,1.157894737,1.526315789,4,0.947368421,1.026315789
E0,30/12/17,Huddersfield,Burnley,0,0,D,"2017-12-30 00:00:00",8,Huddersfield,4,Burnley,8,0.736842105,1.526315789,4,0.947368421,1.026315789
E0,17/09/16,Leicester,Burnley,3,0,H,"2016-09-17 00:00:00",9,Leicester,4,Burnley,9,1.473684211,1.578947368,4,0.947368421,1.026315789
E0,02/12/17,Leicester,Burnley,1,0,H,"2017-12-02 00:00:00",9,Leicester,4,Burnley,9,1.473684211,1.578947368,4,0.947368421,1.026315789
E0,12/03/17,Liverpool,Burnley,2,1,H,"2017-03-12 00:00:00",10,Liverpool,4,Burnley,10,2.210526316,1,4,0.947368421,1.026315789
E0,16/09/17,Liverpool,Burnley,1,1,D,"2017-09-16 00:00:00",10,Liverpool,4,Burnley,10,2.210526316,1,4,0.947368421,1.026315789
E0,02/01/17,"Man City",Burnley,2,1,H,"2017-01-02 00:00:00",11,"Man City",4,Burnley,11,2.789473684,0.710526316,4,0.947368421,1.026315789
