id_liga,date_partido,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado,dates,id,name,id,name,player,do,recieve,player,do,recieve
F1,30/10/16,Marseille,Bordeaux,0,0,D,"2016-10-30 00:00:00",10,Marseille,3,Bordeaux,10,1.5,1.078947368,3,1.394736842,1.131578947
F1,21/09/16,Metz,Bordeaux,0,3,A,"2016-09-21 00:00:00",11,Metz,3,Bordeaux,11,1.026315789,1.894736842,3,1.394736842,1.131578947
F1,21/09/16,Metz,Bordeaux,0,3,A,"2016-09-21 00:00:00",11,Metz,3,Bordeaux,11,1.026315789,1.894736842,3,1.394736842,1.131578947
F1,11/03/17,Monaco,Bordeaux,2,1,H,"2017-03-11 00:00:00",12,Monaco,3,Bordeaux,12,2.815789474,0.815789474,3,1.394736842,1.131578947
F1,11/03/17,Monaco,Bordeaux,2,1,H,"2017-03-11 00:00:00",12,Monaco,3,Bordeaux,12,2.815789474,0.815789474,3,1.394736842,1.131578947
F1,17/12/16,Montpellier,Bordeaux,4,0,H,"2016-12-17 00:00:00",13,Montpellier,3,Bordeaux,13,1.263157895,1.736842105,3,1.394736842,1.131578947
F1,17/12/16,Montpellier,Bordeaux,4,0,H,"2016-12-17 00:00:00",13,Montpellier,3,Bordeaux,13,1.263157895,1.736842105,3,1.394736842,1.131578947
F1,28/01/17,Nancy,Bordeaux,0,2,A,"2017-01-28 00:00:00",14,Nancy,3,Bordeaux,14,0.763157895,1.368421053,3,1.394736842,1.131578947
F1,28/01/17,Nancy,Bordeaux,0,2,A,"2017-01-28 00:00:00",14,Nancy,3,Bordeaux,14,0.763157895,1.368421053,3,1.394736842,1.131578947
F1,16/04/17,Nantes,Bordeaux,0,1,A,"2017-04-16 00:00:00",15,Nantes,3,Bordeaux,15,1.052631579,1.421052632,3,1.394736842,1.131578947
F1,16/04/17,Nantes,Bordeaux,0,1,A,"2017-04-16 00:00:00",15,Nantes,3,Bordeaux,15,1.052631579,1.421052632,3,1.394736842,1.131578947
